linha_original,acao,motivo,texto
1,mantida,,"Nitroprussiato de Sódio (50 mg/2 ml) Diluição: Diluir 01 ampola (2ml) em 248 ml de Soro Glicosado 5% Dose: 0,3 a 10 mcg/kg/min - IV em BIC. Infusão: Iniciar a 5mL/h e reavaliar Vasodilatador"
2,mantida,,"Nitroglicerina (25mg/5ml) Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%. Dose: 5 a 200 mcg/min - IV em BIC Infusão: Iniciar com 1,5 ml/h (5 mcg/min). Aumentar 1,5 ml/h a cada 5 minutos (máximo de 60 ml/h)."
3,mantida,,"Captopril 25 mg - cp Administrar 01 cp, VO. Reavaliar após 1 hora. OU"
4,mantida,,"Clonidina 0,1 mg - cp Administrar 01 cp, VO. Reavaliar após 1 hora. Na alta, orientar retorno ambulatorial precoce em até 07 dias."
5,mantida,,Dipirona 1 g - EV lento
6,mantida,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30 min SE ANSIEDADE Benzodiazepínicos"
7,mantida,via_nao_identificada,"Diazepam 5 mg - cp Tomar 01 cp agora. OU Clonazepam 0,5 mg - cp Tomar 01 cp agora."
8,mantida,conduta_sem_medicamento,Alta para casa com encaminhamento ao cardiologista.
9,mantida,conduta_sem_medicamento,Orientar uso correto de medicações.
10,mantida,conduta_sem_medicamento,Considerar introduzir antihipertensivos caso não faça uso.
11,mantida,,"Furosemida (20mg/2ml) Dose: 0,5-1 mg/kg IV bolus Repetir se necessário, máximo de 240 mg/dia Vasodilatador"
12,mantida,,"Nitroglicerina (25mg/5ml) Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%. Dose: 5 a 200 mcg/min - IV em BIC Infusão: Iniciar com 1,5 ml/h (5 mcg/min). Aumentar 1,5 ml/h a cada 5 minutos (máximo de 60 ml/h)."
13,mantida,,"Dobutamina (250mg/20ml) Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC Dose: 2 a 20 mcg/kg/min. Vazão por Peso:"
14,fundida_na_linha_anterior,fragmento,kg: 6 a 60 ml/h
15,fundida_na_linha_anterior,fragmento,"kg: 8,4 a 84 ml/h"
16,fundida_na_linha_anterior,fragmento,kg: 10 a 108 ml/h Diurético
17,mantida,,"Furosemida (20mg/2ml) Dose: 0,5-1 mg/kg IV bolus Repetir se necessário, máximo de 240 mg/dia Vasodilatador"
18,mantida,,"Nitroglicerina (25mg/5ml) Diluição: 2 ampolas em 240 ml de SF 0,9%. Dose: 5 a 200 mcg/min - IV em BIC Infusão: Iniciar com 1,5 ml/h (5 mcg/min). Aumentar 1,5 ml/h a cada 5 minutos (máximo de 60 ml/h)."
19,mantida,,"Soro Fisiológico 0,9% (20mg/2ml) Alíquotas de 250 ml, IV lento. Reavaliar (ausculta) após administração. Repetir alíquotas se necessário e tolerado. Se ausência de melhora com SF 0,9%"
20,mantida,,"Dobutamina (250mg/20ml) Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC Dose: 2 a 20 mcg/kg/min. Vazão por Peso:"
21,fundida_na_linha_anterior,fragmento,kg: 6 a 60 ml/h
22,fundida_na_linha_anterior,fragmento,"kg: 8,4 a 84 ml/h"
23,fundida_na_linha_anterior,fragmento,kg: 10 a 108 ml/h
24,mantida,conduta_sem_medicamento,Internação
25,mantida,conduta_sem_medicamento,Avaliação da cirurgia geral
26,mantida,conduta_sem_medicamento,Jejum
27,mantida,conduta_sem_medicamento,Sondagem nasogástrica
28,mantida,conduta_sem_medicamento,Correção de distúrbios hidroeletrolíticos
29,mantida,conduta_sem_medicamento,Antibioticoterapia
30,mantida,conduta_sem_medicamento,Controle de sintomas
31,mantida,,"SF 0,9% 1000 ml - EV em 1 hora, se desidratação"
32,mantida,,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml EV 12/12h"
33,mantida,,Ceftriaxone 1g EV 12/12h
34,mantida,,Metronidazol 500mg EV 8/8h
35,mantida,,Dipirona 1g EV 6/6h se dor ou febre
36,mantida,,Tramadol 100mg EV 8/8h se dor intensa
37,mantida,,Ondansetrona 8mg EV 8/8h se náuseas/vômitos
38,mantida,,Omeprazol 40 mg - EV
39,mantida,,"Escopolamina 20 mg - EV, de 8/8h"
40,mantida,conduta_sem_medicamento,Controle de sinais vitais 6/6h
41,mantida,"dose_nao_identificada,via_nao_identificada",Dextro 4/4h enquanto permanecer em jejum
42,mantida,,Soro glicosado 50% 40ml EV se dextro < 70
43,mantida,"dose_nao_identificada,via_nao_identificada",Cabeceira elevada em 45º
44,mantida,"dose_nao_identificada,via_nao_identificada",Passagem de sonda nasogástrica Prescrição
45,mantida,"dose_nao_identificada,via_nao_identificada",Assepsia e antissepsia;
46,mantida,"dose_nao_identificada,via_nao_identificada",Colocação de campos estéreis;
47,mantida,"dose_nao_identificada,via_nao_identificada",Infiltração com lidocaína 2%;
48,mantida,"dose_nao_identificada,via_nao_identificada",Incisão única (se for possível) e linear para drenagem;
49,mantida,"dose_nao_identificada,via_nao_identificada",Fechamento por segunda intenção;
50,mantida,dose_nao_identificada,Curativo estéril. USO ORAL Se indicação de antibiótico:
51,mantida,via_nao_identificada,Amoxicilina + clavulanato 875+125mg Tomar 01 cp de 12 em 12 horas por 07 dias. Sintomáticos:
52,mantida,via_nao_identificada,Dipirona 1 g - cp Tomar 01 cp de 6 em 6 horas se dor ou febre
53,mantida,via_nao_identificada,Ibuprofeno 600 mg - cp Tomar 01 cp de 8 em 8 horas se dor por até 05 dias.
54,mantida,via_nao_identificada,Ondansetrona 4 mg - cp Tomar 01 cp de 8 em 8 horas se náuseas ou vômitos.
55,mantida,via_nao_identificada,Amoxicilina + clavulanato 875+125mg - cp Tomar 01 cp de 12 em 12 horas por 07 dias. OU
56,mantida,via_nao_identificada,Cefalexina 500mg - cp Tomar 01 cp de 6 em 6 horas por 07-10 dias. OU
57,mantida,via_nao_identificada,SMX+TMP 400+80mg - cp Tomar 02 cp de 12 em 12 horas por 07-10 dias. OU
58,mantida,via_nao_identificada,Clindamicina 300mg - cp Tomar 02 cp de 8 em 8 horas por 07-10 dias.
59,mantida,conduta_sem_medicamento,Jejum
60,mantida,,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml EV 12/12h"
61,mantida,,Ceftriaxone 1g EV 12/12h
62,mantida,,Metronidazol 500mg EV 8/8h
63,mantida,,Dipirona 1g EV 6/6h se dor ou febre
64,mantida,,Tramadol 100mg EV 8/8h se dor intensa
65,mantida,,Ondansetrona 8mg EV 8/8h se náuseas/vômitos
66,mantida,conduta_sem_medicamento,Controle de sinais vitais 6/6h
67,mantida,"dose_nao_identificada,via_nao_identificada",Dextro 4/4h enquanto permanecer em jejum
68,mantida,,Soro glicosado 50% 40ml EV se dextro < 70
69,mantida,"dose_nao_identificada,via_nao_identificada",Cabeceira elevada em 45º Conduta no PS
70,mantida,conduta_sem_medicamento,Internação
71,mantida,conduta_sem_medicamento,Avaliação da cirurgia geral
72,mantida,conduta_sem_medicamento,Antibioticoterapia EV
73,mantida,conduta_sem_medicamento,Controle de sintomas
74,mantida,conduta_sem_medicamento,Jejum
75,mantida,,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml EV 12/12h"
76,mantida,,Ceftriaxone 1g EV 12/12h
77,mantida,,Metronidazol 500mg EV 8/8h
78,mantida,,Dipirona 1g EV 6/6h se dor ou febre
79,mantida,,Tramadol 100mg EV 8/8h se dor intensa
80,mantida,,Ondansetrona 8mg EV 8/8h se náuseas/vômitos
81,mantida,conduta_sem_medicamento,Controle de sinais vitais 6/6h
82,mantida,"dose_nao_identificada,via_nao_identificada",Dextro 4/4h enquanto permanecer em jejum
83,mantida,,Soro glicosado 50% 40ml EV se dextro < 70
84,mantida,"dose_nao_identificada,via_nao_identificada",Cabeceira elevada em 45º Prescrição
85,mantida,conduta_sem_medicamento,Internação
86,mantida,conduta_sem_medicamento,Avaliação da cirurgia geral
87,mantida,conduta_sem_medicamento,Antibioticoterapia EV
88,mantida,conduta_sem_medicamento,Controle de sintomas
89,mantida,via_nao_identificada,Furosemida 40 mg - cp Tomar 01 cp Aumentar conforme tolerância e resposta clínica Dose máxima: 160 mg/dia
90,mantida,via_nao_identificada,"Espironolactona 100 mg - cp Tomar 01 cp Aumentar conforme tolerância e resposta clínica Dose máxima: 400 mg/dia Restrição Hídrica Não é necessária restrição hídrica, exceto se hiponatremia Ingestão de 1.500 a 2.000 ml/dia. Se hiponatremia, "
91,mantida,,"Lactulose 667mg/ml Administrar 30 ml, VO, de 8/8h Meta: 2-3 evacuações pastosas Aumentar para 4/4h se ausência de evacuação Se ausência de evacuação"
92,mantida,"dose_nao_identificada,via_nao_identificada",Enema de lactulose 30%
93,mantida,,"mL de lactulose em 700 mL de solução para uso retal (soro, água, glicerina ou manitol) O enema deve ser retido por no mínimo 30 minutos e repetido, se necessário. Antibioticoterapia"
94,mantida,via_nao_identificada,"Rifaximina 550 mg - cp Tomar 01 cp, de 12/12h, por 14 dias Usar em associação à lactulose, ou em caso de refratariedade"
95,mantida,via_nao_identificada,"Metronidazol 500mg - cp Tomar 01 cp, de 08/08h, por 14 dias Usar em caso de indisponibilidade da rifamixicina Aminoácidos"
96,mantida,via_nao_identificada,Aspartato de Ornitina 5g Diluir em 1 copo de água (200mL) e tomar 1x ao dia. Usar em caso de refratariedades às medidas iniciais Se agitação psicomotora
97,mantida,,Haloperidol 5mg/1ml Administrar 01 ampola (5mg) IM
98,mantida,"dose_nao_identificada,via_nao_identificada",Paracentese
99,mantida,conduta_sem_medicamento,Antibioticoterapia
100,mantida,"dose_nao_identificada,via_nao_identificada",Antibioticoprofilaxia
101,mantida,"dose_nao_identificada,via_nao_identificada",Prevenção de Síndrome Hepatorrenal
102,mantida,,Cefotaxime 2 g - EV Administrar a cada 8 horas por 5 dias. OU
103,mantida,,Ceftriaxone 2 g - EV Administrar 1 vez ao dia por 5 dias. Antibioticoprofilaxia
104,mantida,,"Norfloxacino 400 mg - cp Tomar 1 cp VO diariamente, uso contínuo OU"
105,mantida,,"Ciprofloxacino 500 mg - cp Tomar 1 cp VO diariamente, uso contínuo"
106,mantida,via_nao_identificada,"Albumina 0,2g/ml (20%) Administrar 1,5 g/kg no 1ºdia e 1g/kg no terceiro dia OBS: Após a retirada de mais de 5 litros em uma paracentese é necessário repor albumina numa proporção de 6-8g por litro retirado, independentemente de critérios l"
107,mantida,via_nao_identificada,Amoxicilina + clavulanato 875+125mg Tomar 01 cp de 12 em 12 horas por 07 dias. OU
