titulo,apresentacao,condicao_clinica,confianca_extracao,contexto,cuidados,diluicao,dose,duracao,especialidade,fonte_arquivo,fonte_pagina,fonte_secao,frequencia,medicamento,modo_de_uso,observacoes,orientacoes,sinais_de_alerta,slug,status_revisao,subcondicao,tags,texto_original,tipo_de_conduta,via
Emergência Hipertensiva — Nitroprussiato de Sódio (50 mg/2 ml),,Emergência Hipertensiva,Alta,PS,,º Diluição: Diluir 01 ampola (2ml) em 248 ml de | Soro Glicosado 5%,,,Cardiologia,PDF Guia Prático de Prescrições,13,Cardiologia > Crise Hipertensiva > Emergência Hipertensiva,,Nitroprussiato de Sódio (50 mg/2 ml),"Nitroprussiato de Sódio (50 mg/2 ml)
º Diluição: Diluir 01 ampola (2ml) em 248 ml de
Soro Glicosado 5%
º Dose: 0,3 a 10 mcg/kg/min - IV em BIC.
º Infusão:
Iniciar a 5mL/h e reavaliar
Vasodilatador",Item numerado 1. Cabeçalho próximo: Hipotensores Endovenosos,,,pdf-cardiologia-crise-hipertensiva-emergencia-hipertensiva-nitroprussiato-de-sodio-50-mg-2-ml-nitroprussiato-de-sodio-50-mg-2-ml-o-diluicao-diluir-01-ampola-2ml-em-248-m,Revisão pendente,Crise Hipertensiva,emergência,"Nitroprussiato de Sódio (50 mg/2 ml)
º Diluição: Diluir 01 ampola (2ml) em 248 ml de
Soro Glicosado 5%
º Dose: 0,3 a 10 mcg/kg/min - IV em BIC.
º Infusão:
Iniciar a 5mL/h e reavaliar
Vasodilatador",Prescrição,IV
Emergência Hipertensiva — Nitroglicerina (25mg/5ml),,Emergência Hipertensiva,Alta,PS,,"º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.",,,Cardiologia,PDF Guia Prático de Prescrições,13,Cardiologia > Crise Hipertensiva > Emergência Hipertensiva,,Nitroglicerina (25mg/5ml),"Nitroglicerina (25mg/5ml)
º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Item numerado 2. Cabeçalho próximo: Hipotensores Endovenosos,,,pdf-cardiologia-crise-hipertensiva-emergencia-hipertensiva-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-diluir-2-ampolas-em-240-ml-de-sf-0-9-o-d,Revisão pendente,Crise Hipertensiva,emergência,"Nitroglicerina (25mg/5ml)
º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Prescrição,IV
Urgência Hipertensiva — Captopril 25 mg,,Urgência Hipertensiva,Alta,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,14,Cardiologia > Crise Hipertensiva > Urgência Hipertensiva,,Captopril 25 mg,"Captopril 25 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
OU",Item numerado 1. Cabeçalho próximo: Antihipertensivos orais,,,pdf-cardiologia-crise-hipertensiva-urgencia-hipertensiva-captopril-25-mg-captopril-25-mg-cp-administrar-01-cp-vo-reavaliar-apos-1-hora-ou,Revisão pendente,Crise Hipertensiva,emergência,"Captopril 25 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
OU",Prescrição,VO
"Urgência Hipertensiva — Clonidina 0,1 mg",,Urgência Hipertensiva,Alta,PS,,,,até 07 dias,Cardiologia,PDF Guia Prático de Prescrições,14,Cardiologia > Crise Hipertensiva > Urgência Hipertensiva,,"Clonidina 0,1 mg","Clonidina 0,1 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
Na alta, orientar retorno ambulatorial precoce
em até 07 dias.",Item numerado 2. Cabeçalho próximo: Antihipertensivos orais,,,pdf-cardiologia-crise-hipertensiva-urgencia-hipertensiva-clonidina-0-1-mg-clonidina-0-1-mg-cp-administrar-01-cp-vo-reavaliar-apos-1-hora-na-alta-ori,Revisão pendente,Crise Hipertensiva,emergência,"Clonidina 0,1 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
Na alta, orientar retorno ambulatorial precoce
em até 07 dias.",Prescrição,VO
Pseudocrise Hipertensiva — Dipirona 1 g,,Pseudocrise Hipertensiva,Alta,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,,Dipirona 1 g,Dipirona 1 g - EV lento,Item numerado 1. Cabeçalho próximo: Analgesia,,,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-dipirona-1-g-dipirona-1-g-ev-lento,Revisão pendente,Crise Hipertensiva,"analgésico, emergência",Dipirona 1 g - EV lento,Prescrição,EV
"Pseudocrise Hipertensiva — Cetoprofeno 100 mg + 100 ml SF 0,9 %",,Pseudocrise Hipertensiva,Alta,PS,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30",,,Cardiologia,PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,,"Cetoprofeno 100 mg + 100 ml SF 0,9 %","Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30
min
SE ANSIEDADE
Benzodiazepínicos",Item numerado 2. Cabeçalho próximo: Analgesia,,,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-cetoprofeno-100-mg-100-ml-sf-0-9-cetoprofeno-100-mg-100-ml-sf-0-9-ev-em-30-min-se-ansiedade-benzodiazepinic,Revisão pendente,Crise Hipertensiva,"analgésico, emergência","Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30
min
SE ANSIEDADE
Benzodiazepínicos",Prescrição,EV
Pseudocrise Hipertensiva — Diazepam 5 mg,,Pseudocrise Hipertensiva,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,,Diazepam 5 mg,"Diazepam 5 mg - cp
Tomar 01 cp agora.
OU
Clonazepam 0,5 mg - cp
Tomar 01 cp agora.",Item numerado 1. Cabeçalho próximo: Analgesia,,,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-diazepam-5-mg-diazepam-5-mg-cp-tomar-01-cp-agora-ou-clonazepam-0-5-mg-cp-tomar-01-cp-agor,Revisão pendente,Crise Hipertensiva,emergência,"Diazepam 5 mg - cp
Tomar 01 cp agora.
OU
Clonazepam 0,5 mg - cp
Tomar 01 cp agora.",Prescrição,
HAS Crônica Mal Controlada — Alta para casa com encaminhamento ao,,HAS Crônica Mal Controlada,Baixa,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,,Alta para casa com encaminhamento ao,"Alta para casa com encaminhamento ao
cardiologista.",Item numerado 1. Cabeçalho próximo: Conduta no PS,,,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-alta-para-casa-com-encaminhamento-ao-alta-para-casa-com-encaminhamento-ao-cardiologista,Revisão pendente,Crise Hipertensiva,emergência,"Alta para casa com encaminhamento ao
cardiologista.",Conduta,
HAS Crônica Mal Controlada — Orientar uso correto de medicações.,,HAS Crônica Mal Controlada,Baixa,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,,Orientar uso correto de medicações.,Orientar uso correto de medicações.,Item numerado 2. Cabeçalho próximo: Conduta no PS,,,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-orientar-uso-correto-de-medicacoes-orientar-uso-correto-de-medicacoes,Revisão pendente,Crise Hipertensiva,emergência,Orientar uso correto de medicações.,Conduta,
HAS Crônica Mal Controlada — Considerar introduzir antihipertensivos caso,,HAS Crônica Mal Controlada,Baixa,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,,Considerar introduzir antihipertensivos caso,"Considerar introduzir antihipertensivos caso
não faça uso.",Item numerado 3. Cabeçalho próximo: Conduta no PS,,,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-considerar-introduzir-antihipertensivos-caso-considerar-introduzir-antihipertensivos-caso-nao-faca-uso,Revisão pendente,Crise Hipertensiva,emergência,"Considerar introduzir antihipertensivos caso
não faça uso.",Conduta,
