titulo,especialidade,condicao_clinica,subcondicao,contexto,tipo_de_conduta,medicamento,apresentacao,dose,via,frequencia,duracao,diluicao,modo_de_uso,orientacoes,sinais_de_alerta,cuidados,observacoes,tags,fonte_arquivo,fonte_pagina,fonte_secao,texto_original,confianca_extracao,status_revisao,slug
Emergência Hipertensiva — Nitroprussiato de Sódio (50 mg/2 ml),Cardiologia,Emergência Hipertensiva,Crise Hipertensiva,PS,Prescrição,Nitroprussiato de Sódio (50 mg/2 ml),50 mg/2 ml,"0,3 a 10 mcg/kg/min - IV em BIC.",EV,,,Diluição: Diluir 01 ampola (2ml) em 248 ml de | Soro Glicosado 5%,"Nitroprussiato de Sódio (50 mg/2 ml)
 Diluição: Diluir 01 ampola (2ml) em 248 ml de
Soro Glicosado 5%
 Dose: 0,3 a 10 mcg/kg/min - IV em BIC.
 Infusão:
Iniciar a 5mL/h e reavaliar
Vasodilatador","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 1. Cabeçalho próximo: Hipotensores Endovenosos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,13,Cardiologia > Crise Hipertensiva > Emergência Hipertensiva,"Nitroprussiato de Sódio (50 mg/2 ml)
 Diluição: Diluir 01 ampola (2ml) em 248 ml de
Soro Glicosado 5%
 Dose: 0,3 a 10 mcg/kg/min - IV em BIC.
 Infusão:
Iniciar a 5mL/h e reavaliar
Vasodilatador",Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-emergencia-hipertensiva-nitroprussiato-de-sodio-50-mg-2-ml-nitroprussiato-de-sodio-50-mg-2-ml-o-diluicao-diluir-01-ampola-2ml-em-248-m
Emergência Hipertensiva — Nitroglicerina (25mg/5ml),Cardiologia,Emergência Hipertensiva,Crise Hipertensiva,PS,Prescrição,Nitroglicerina (25mg/5ml),25mg/5ml,5 a 200 mcg/min - IV em BIC,EV,,,"Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.","Nitroglicerina (25mg/5ml)
 Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 2. Cabeçalho próximo: Hipotensores Endovenosos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,13,Cardiologia > Crise Hipertensiva > Emergência Hipertensiva,"Nitroglicerina (25mg/5ml)
 Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-emergencia-hipertensiva-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-diluir-2-ampolas-em-240-ml-de-sf-0-9-o-d
Urgência Hipertensiva — Captopril 25 mg,Cardiologia,Urgência Hipertensiva,Crise Hipertensiva,PS,Prescrição,Captopril 25 mg,25 mg,"01 cp, VO",VO,,,,"Captopril 25 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
OU","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 1. Cabeçalho próximo: Antihipertensivos orais | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,14,Cardiologia > Crise Hipertensiva > Urgência Hipertensiva,"Captopril 25 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
OU",Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-urgencia-hipertensiva-captopril-25-mg-captopril-25-mg-cp-administrar-01-cp-vo-reavaliar-apos-1-hora-ou
"Urgência Hipertensiva — Clonidina 0,1 mg",Cardiologia,Urgência Hipertensiva,Crise Hipertensiva,PS,Prescrição,"Clonidina 0,1 mg","0,1 mg","01 cp, VO",VO,,até 07 dias,,"Clonidina 0,1 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
Na alta, orientar retorno ambulatorial precoce
em até 07 dias.","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 2. Cabeçalho próximo: Antihipertensivos orais | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,14,Cardiologia > Crise Hipertensiva > Urgência Hipertensiva,"Clonidina 0,1 mg - cp
Administrar 01 cp, VO. Reavaliar após 1 hora.
Na alta, orientar retorno ambulatorial precoce
em até 07 dias.",Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-urgencia-hipertensiva-clonidina-0-1-mg-clonidina-0-1-mg-cp-administrar-01-cp-vo-reavaliar-apos-1-hora-na-alta-ori
Pseudocrise Hipertensiva — Dipirona 1 g,Cardiologia,Pseudocrise Hipertensiva,Crise Hipertensiva,PS,Prescrição,Dipirona 1 g,1 g,1 g,EV,,,,Dipirona 1 g - EV lento,"Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 1. Cabeçalho próximo: Analgesia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,"analgésico, emergência",PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,Dipirona 1 g - EV lento,Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-dipirona-1-g-dipirona-1-g-ev-lento
"Pseudocrise Hipertensiva — Cetoprofeno 100 mg + 100 ml SF 0,9 %",Cardiologia,Pseudocrise Hipertensiva,Crise Hipertensiva,PS,Prescrição,"Cetoprofeno 100 mg + 100 ml SF 0,9 %",100 mg,100 mg,EV,,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30","Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30
min
SE ANSIEDADE
Benzodiazepínicos","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 2. Cabeçalho próximo: Analgesia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,"analgésico, emergência",PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30
min
SE ANSIEDADE
Benzodiazepínicos",Média,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-cetoprofeno-100-mg-100-ml-sf-0-9-cetoprofeno-100-mg-100-ml-sf-0-9-ev-em-30-min-se-ansiedade-benzodiazepinic
Pseudocrise Hipertensiva — Diazepam 5 mg,Cardiologia,Pseudocrise Hipertensiva,Crise Hipertensiva,PS,Prescrição,Diazepam 5 mg,5 mg,01 cp agora,,,,,"Diazepam 5 mg - cp
Tomar 01 cp agora.
OU
Clonazepam 0,5 mg - cp
Tomar 01 cp agora.","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 1. Cabeçalho próximo: Analgesia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,15,Cardiologia > Crise Hipertensiva > Pseudocrise Hipertensiva,"Diazepam 5 mg - cp
Tomar 01 cp agora.
OU
Clonazepam 0,5 mg - cp
Tomar 01 cp agora.",Baixa,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-pseudocrise-hipertensiva-diazepam-5-mg-diazepam-5-mg-cp-tomar-01-cp-agora-ou-clonazepam-0-5-mg-cp-tomar-01-cp-agor
HAS Crônica Mal Controlada — Alta para casa com encaminhamento ao,Cardiologia,HAS Crônica Mal Controlada,Crise Hipertensiva,PS,Conduta,Alta para casa com encaminhamento ao,,,,,,,"Alta para casa com encaminhamento ao
cardiologista.","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 1. Cabeçalho próximo: Conduta no PS | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,"Alta para casa com encaminhamento ao
cardiologista.",Baixa,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-alta-para-casa-com-encaminhamento-ao-alta-para-casa-com-encaminhamento-ao-cardiologista
HAS Crônica Mal Controlada — Orientar uso correto de medicações.,Cardiologia,HAS Crônica Mal Controlada,Crise Hipertensiva,PS,Conduta,Orientar uso correto de medicações.,,,,,,,Orientar uso correto de medicações.,"Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 2. Cabeçalho próximo: Conduta no PS | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,Orientar uso correto de medicações.,Baixa,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-orientar-uso-correto-de-medicacoes-orientar-uso-correto-de-medicacoes
HAS Crônica Mal Controlada — Considerar introduzir antihipertensivos caso,Cardiologia,HAS Crônica Mal Controlada,Crise Hipertensiva,PS,Conduta,Considerar introduzir antihipertensivos caso,,,,,,,"Considerar introduzir antihipertensivos caso
não faça uso.","Confirmar medida, avaliar sintomas e sinais de lesão de órgão-alvo antes de definir tratamento.","Dor torácica, dispneia, déficit neurológico, confusão, alteração visual, síncope, injúria renal aguda, gestação/eclâmpsia.","Não reduzir PA rapidamente sem indicação. Conduta depende de órgão-alvo, comorbidades, monitorização e protocolo local.",Item numerado 3. Cabeçalho próximo: Conduta no PS | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,16,Cardiologia > Crise Hipertensiva > HAS Crônica Mal Controlada,"Considerar introduzir antihipertensivos caso
não faça uso.",Baixa,Não usar sem validação,pdf-cardiologia-crise-hipertensiva-has-cronica-mal-controlada-considerar-introduzir-antihipertensivos-caso-considerar-introduzir-antihipertensivos-caso-nao-faca-uso
