K56.6	ABDOME AGUDO OBSTRUTIVO – ADULTO
T74.2	ABUSO SEXUAL — ADULTO E ADOLESCENTE (PS)
D64.9	ANEMIA — ADULTO
F41.0	ANSIEDADE / CRISE DE PÂNICO — ADULTO
K35.9	APENDICITE AGUDA SUSPEITA — ADULTO
J45.9	ASMA / EXACERBAÇÃO ASMÁTICA — ADULTO
I62.9	AVC HEMORRÁGICO SUSPEITO — ADULTO
I63.9	AVC ISQUÊMICO SUSPEITO — ADULTO
R00.1	BRADICARDIA SINTOMÁTICA — ADULTO
J20.9	BRONQUITE AGUDA — ADULTO
G43.9	CEFALEIA AGUDA / ENXAQUECA — ADULTO
L03.9	CELULITE BACTERIANA — ADULTO — APS/PS
E11.1	CETOACIDOSE DIABÉTICA — ADULTO
R57.9	CHOQUE INDIFERENCIADO — ADULTO
K81.0	COLECISTITE AGUDA SUSPEITA — ADULTO
H10.9	CONJUNTIVITE — ADULTO
K59.0	CONSTIPAÇÃO INTESTINAL — ADULTO
G40.9	CONVULSÃO / CRISE EPILÉPTICA — ADULTO
U07.1	COVID-19 LEVE / MODERADO — ADULTO
I10	CRISE HIPERTENSIVA — ADULTO
K80.2	CÓLICA BILIAR — ADULTO
N23	CÓLICA RENAL — ADULTO
A90	DENGUE — ADULTO
F32.3	DEPRESSÃO COM RISCO SUICIDA — ADULTO
E86.0	DESIDRATAÇÃO — ADULTO
E11.9	DIABETES MELLITUS TIPO 2 DESCOMPENSADO — ADULTO
E78.5	DISLIPIDEMIA — ADULTO
R06.00	DISPNEIA AGUDA — ADULTO
K57.1	DIVERTICULITE AGUDA — ADULTO
K21.9	DOENÇA DO REFLUXO GASTROESOFÁGICO — ADULTO
R10.0	DOR ABDOMINAL AGUDA — ADULTO
R07.89	DOR TORÁCICA NÃO CARDÍACA — ADULTO
J44.1	DPOC EXACERBADO — ADULTO
J81.0	EDEMA AGUDO DE PULMÃO (EAP) — ADULTO
N80	ENDOMETRIOSE — ADULTO
J38.0	EPIGLOTITE SUSPEITA — ADULTO
E87.0	ESTADO HIPEROSMOLAR HIPERGLICÊMICO — ADULTO
J02.9	FARINGITE VIRAL — ADULTO
J03.0	FARINGOAMIGDALITE BACTERIANA — ADULTO
R50.9	FEBRE SEM SINAIS LOCALIZATÓRIOS — ADULTO
I48.1	FIBRILAÇÃO ATRIAL — ADULTO
K60.0	FISSURA ANAL — ADULTO
A09	GASTROENTERITE AGUDA / DIARREIA AGUDA — ADULTO
I84.9	HEMORROIDA SINTOMÁTICA — ADULTO
I10	HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) — ADULTO
O21.0	HIPERÊMESE GRAVÍDICA — GESTANTE
E16.0	HIPOGLICEMIA — ADULTO
K04.6	INFECÇÃO DENTÁRIA — ADULTO
N30.0	INFECÇÃO DO TRATO URINÁRIO (ITU) — ADULTO
J10.1	INFLUENZA — ADULTO
F51.0	INSÔNIA AGUDA — ADULTO
I50.9	INSUFICIÊNCIA CARDÍACA DESCOMPENSADA — ADULTO
A05.9	INTOXICAÇÃO ALIMENTAR — ADULTO
T42.4	INTOXICAÇÃO POR BENZODIAZEPÍNICO — ADULTO
W54	MORDEDURA DE CÃO — ADULTO
R11	NÁUSEAS E VÔMITOS AGUDOS — ADULTO
H60.3	OTITE EXTERNA — ADULTO
H65.0	OTITE MÉDIA AGUDA — ADULTO
R00.2	PALPITAÇÕES — ADULTO
K85	PANCREATITE AGUDA — ADULTO
B82.0	PARASITOSE INTESTINAL — ADULTO
J18.9	PNEUMONIA ADQUIRIDA NA COMUNIDADE (PAC) — ADULTO
O14.9	PRÉ-ECLÂMPSIA E HIPERTENSÃO GESTACIONAL
K62.8	PROCTALGIA — ADULTO
N41.0	PROSTATITE – ADULTO
J30.1	RINITE ALÉRGICA — ADULTO
A41.9	SEPSE SUSPEITA — ADULTO
J01.0	SINUSITE AGUDA / RINOSSINUSITE AGUDA BACTERIANA
R55	SÍNCOPE — ADULTO
I21.9	SÍNDROME CORONARIANA AGUDA (SCA) — ADULTO
K58.9	SÍNDROME DO INTESTINO IRRITÁVEL — ADULTO
I47.1	TAQUIARRITMIAS SUPRAVENTRICULARES — ADULTO
I26.9	TROMBOEMBOLISMO PULMONAR (TEP) — ADULTO
I82.4	TROMBOSE VENOSA PROFUNDA (TVP) — ADULTO
A15.0	TUBERCULOSE SUSPEITA — ADULTO
H81.1	VERTIGEM PERIFÉRICA — ADULTO
